attendance,participation,assignment score,year_of study,number of subjects taken,class size,peer performance,cats,rats,Final exam
14,3,4,3,5,63,55,32,9,68
12,13,9,5,5,90,36,10,1,59
4,15,9,3,5,147,41,29,1,60
14,18,10,6,3,137,56,6,8,79
19,2,10,4,3,144,23,2,10,65
20,4,3,1,6,66,42,38,4,75
9,1,3,5,4,40,28,10,4,32
10,13,6,4,6,169,80,13,6,63
15,20,5,5,4,126,67,21,2,78
9,13,10,1,6,161,56,4,4,59
12,12,6,5,7,191,54,38,9,79
11,19,1,5,5,182,85,16,3,62
4,5,6,1,7,136,18,5,1,25
6,9,1,5,3,124,9,12,4,31
15,8,9,1,5,56,68,40,8,92
5,17,7,3,4,178,41,3,5,50
3,11,4,1,7,68,22,11,6,38
1,15,5,5,6,98,41,16,10,49
10,5,2,3,5,199,6,36,7,52
5,18,4,1,6,145,57,15,10,61
7,12,5,4,6,126,14,9,10,49
16,2,10,3,4,73,82,5,10,71
16,11,7,4,5,163,65,22,1,71
16,13,2,4,6,99,8,11,8,59
16,11,5,5,4,143,76,28,6,79
7,2,3,6,5,86,90,35,9,57
4,3,7,3,3,178,22,23,5,41
9,13,5,6,3,194,19,15,7,53
7,5,4,4,5,143,11,22,10,46
12,15,4,3,4,118,25,16,10,67
16,10,5,5,4,68,32,28,6,72
1,15,4,3,3,41,70,29,2,52
19,15,5,3,3,183,34,14,1,70
16,20,9,5,6,62,49,21,2,84
1,15,10,4,6,104,75,3,5,49
3,7,4,6,7,103,49,13,7,36
15,11,6,6,3,168,14,32,8,75
2,18,9,6,7,110,64,11,1,50
7,9,6,3,3,200,10,14,10,50
13,8,6,3,6,181,87,33,7,77
16,18,9,1,6,178,61,13,9,88
17,14,3,4,5,176,45,30,5,76
4,1,7,6,7,81,11,23,5,35
9,3,6,1,3,190,30,26,8,56
18,10,3,3,6,116,11,22,4,63
7,4,1,4,7,198,61,39,2,45
3,11,8,2,7,158,59,32,6,61
1,3,3,1,3,151,25,1,10,23
3,16,10,3,4,48,70,1,4,53
1,20,8,5,4,167,35,33,3,61
6,12,1,6,7,143,37,35,7,53
11,19,7,1,6,195,98,3,2,67
12,16,7,6,6,105,29,13,6,65
15,6,4,1,5,186,20,33,2,61
2,8,10,5,5,195,31,19,7,48
19,9,7,1,5,143,78,13,10,83
18,12,9,5,5,131,18,24,8,83
14,15,1,1,4,104,26,30,9,74
13,8,1,3,3,57,22,34,1,55
15,16,8,2,7,154,19,31,3,79
12,9,9,4,7,57,90,16,7,72
3,2,6,5,7,50,72,14,6,37
20,2,1,5,3,103,70,30,7,70
19,19,9,6,4,114,29,3,10,84
6,3,5,5,5,45,50,37,9,57
13,17,10,6,7,129,40,25,7,82
2,14,5,2,7,97,2,22,3,41
10,8,8,3,6,168,12,39,2,63
9,11,5,3,7,62,42,5,1,42
3,7,2,6,6,195,87,10,10,39
15,14,3,4,7,78,96,10,3,65
4,14,4,6,6,65,90,22,1,50
12,15,10,1,3,59,8,29,1,74
8,2,1,3,4,168,97,1,1,28
16,1,5,5,6,193,49,32,4,62
4,16,1,3,4,187,76,23,8,56
1,8,1,3,3,84,67,8,3,26
17,8,6,3,4,168,32,19,7,69
10,19,6,2,4,69,1,36,2,72
15,2,9,1,3,118,45,9,1,55
10,2,10,1,7,152,58,5,5,50
11,5,5,3,6,48,100,3,4,50
9,2,7,2,6,137,32,16,10,52
3,13,7,1,5,120,75,23,4,58
17,11,3,4,7,97,38,40,5,78
14,6,6,3,6,61,77,23,4,67
4,18,1,3,3,82,32,17,5,47
6,4,10,3,4,144,10,20,1,43
9,9,10,4,7,63,26,30,4,65
13,5,4,6,7,138,76,22,5,58
1,2,10,1,7,91,42,17,8,43
14,19,5,5,4,88,15,25,2,70
16,20,2,6,6,193,61,16,10,78
3,10,5,1,4,59,73,27,3,53
9,2,6,1,7,83,40,29,1,49
13,20,6,5,5,108,21,3,2,59
2,17,8,5,4,179,23,18,8,55
9,5,7,3,4,67,63,1,4,44
10,13,2,3,4,137,31,36,9,68
4,17,6,4,4,119,57,18,5,57
4,19,9,5,5,138,95,11,9,69
15,20,4,3,6,98,12,40,4,83
6,15,7,2,6,68,20,13,2,49
9,4,10,4,3,48,54,23,8,65
6,14,7,4,3,132,29,21,6,58
9,5,8,4,6,96,71,3,8,51
14,20,4,6,4,173,22,12,9,70
3,1,3,1,3,161,36,19,4,29
8,12,8,6,7,158,31,12,8,56
16,20,4,3,5,121,22,31,3,80
20,2,10,6,7,200,10,3,3,54
9,7,3,2,7,197,78,36,8,65
12,18,2,4,3,168,66,19,5,67
9,8,7,5,3,49,92,38,8,78
1,1,10,1,3,183,50,9,3,33
5,20,9,6,7,55,22,24,6,66
19,13,1,5,6,114,64,11,1,61
18,3,7,6,6,76,33,12,5,59
12,12,1,3,6,190,4,39,6,62
17,12,2,4,6,128,46,24,1,64
10,1,4,6,7,156,86,33,6,56
7,10,5,3,6,125,69,6,9,51
16,11,7,6,5,140,65,20,5,74
6,17,3,1,5,176,62,17,5,56
5,20,9,4,4,172,93,23,5,75
15,10,6,3,3,145,26,32,1,69
7,15,2,2,4,54,85,3,8,53
11,19,1,1,5,78,68,23,10,75
7,16,1,5,3,179,47,1,5,40
1,9,9,5,3,166,81,26,4,54
2,1,4,6,5,143,16,20,6,26
8,12,2,1,4,133,91,30,2,61
12,13,5,3,3,109,2,9,4,52
2,20,5,5,5,112,88,16,6,59
16,3,7,3,7,176,17,31,4,64
3,10,6,1,5,86,8,37,8,57
6,5,9,4,3,171,49,17,7,52
4,18,7,1,7,142,74,33,10,78
18,6,6,5,5,155,44,33,10,81
4,6,8,4,6,168,84,6,8,46
13,11,2,3,4,84,83,11,9,64
12,1,9,1,5,47,42,24,1,57
8,7,1,3,4,190,69,22,7,50
12,3,3,3,4,96,48,12,9,50
17,10,8,4,6,148,22,39,7,85
12,1,4,2,5,198,60,2,1,35
8,20,8,3,5,174,3,22,6,68
6,7,5,3,5,133,16,35,9,57
1,1,6,4,7,155,86,26,1,35
19,10,9,5,4,77,30,15,7,78
8,11,2,1,5,74,54,7,7,47
3,3,5,2,7,48,56,38,7,52
9,16,5,6,3,199,68,7,4,55
20,8,4,4,5,48,60,31,10,86
10,19,6,5,5,40,17,15,4,62
17,14,1,5,6,150,93,32,5,79
2,16,5,5,7,111,16,22,6,47
12,1,7,5,7,154,63,26,8,61
10,12,5,2,6,87,58,23,7,66
4,5,9,3,6,167,12,5,1,29
3,12,5,6,5,114,67,5,5,39
13,17,5,6,3,132,79,29,8,84
8,7,5,2,6,57,7,18,6,46
5,2,6,2,5,145,12,1,2,22
6,3,5,6,7,137,84,17,6,44
17,5,1,5,7,155,73,13,5,54
13,15,7,2,4,119,64,33,10,90
4,7,6,4,7,96,27,33,3,47
19,20,7,6,4,61,81,15,8,94
16,5,6,2,4,145,5,25,6,64
11,14,5,6,6,158,50,37,7,75
20,14,7,4,5,74,73,27,7,94
16,17,4,1,7,131,83,3,8,74
14,2,9,4,3,123,61,36,2,71
3,2,2,5,7,43,39,39,8,43
13,4,2,6,4,73,99,3,7,49
14,17,6,2,6,148,70,14,1,70
12,19,3,5,3,123,14,9,1,52
19,14,10,5,5,197,24,30,6,90
6,19,9,1,6,127,10,5,6,57
5,6,10,2,6,154,71,37,8,70
19,5,5,1,3,106,70,17,1,67
6,3,1,2,7,111,43,2,9,28
11,1,3,3,6,77,33,13,4,38
7,12,2,6,7,173,93,11,6,48
7,5,8,3,6,83,25,38,5,60
12,10,7,2,6,97,19,38,5,72
4,1,4,4,4,108,83,6,1,26
14,18,5,1,6,53,14,15,10,75
13,10,6,4,6,49,12,29,10,71
15,12,3,1,3,170,92,25,5,76
12,20,9,6,5,162,30,39,5,87
17,11,5,2,3,78,5,10,10,68
19,12,5,4,5,44,41,2,3,63
13,15,6,4,5,130,44,23,4,70
7,15,7,6,6,59,38,36,1,64
6,1,7,2,4,197,59,15,3,40
11,14,5,1,5,173,54,21,7,69
17,6,4,5,4,105,61,24,5,67
11,10,4,5,7,140,88,34,9,74
13,5,10,6,4,48,76,6,3,59
16,18,4,1,3,180,81,1,1,66
2,6,3,2,3,119,22,17,8,35
15,3,4,1,4,141,58,9,5,53
1,14,2,5,6,118,4,14,5,30
10,14,2,5,7,114,45,35,3,62
15,7,2,3,3,174,69,30,5,67
11,2,10,3,7,96,28,36,2,62
8,11,4,4,3,193,74,40,5,69
11,9,4,5,6,190,82,31,4,64
8,13,3,5,4,54,87,28,10,70
20,11,1,4,3,178,57,39,4,81
6,8,7,2,6,90,41,28,4,55
19,20,1,3,4,178,59,4,4,69
12,17,4,2,5,67,54,1,1,54
10,1,7,3,5,41,4,8,9,43
16,10,3,4,7,107,75,29,3,70
7,11,4,5,6,159,73,11,7,50
6,20,1,2,5,157,15,18,7,53
20,16,4,6,3,45,81,2,10,81
7,3,2,5,6,68,37,13,5,32
19,11,4,4,7,186,29,39,1,76
18,7,4,4,5,129,65,31,5,75
3,15,5,2,7,118,2,20,1,40
14,10,3,6,5,187,6,22,7,57
8,11,9,2,5,97,67,21,3,64
20,11,5,2,5,92,100,14,4,80
4,16,8,2,5,118,92,21,10,73
7,8,2,4,3,140,16,3,10,36
10,3,6,3,7,69,13,12,7,44
11,14,7,6,5,84,30,26,7,70
10,10,8,6,6,146,26,12,6,54
8,18,10,5,3,120,99,10,3,71
2,16,10,3,4,52,97,7,3,57
17,20,9,2,3,172,66,17,9,96
18,14,5,6,5,64,18,13,10,74
15,18,7,5,6,197,51,15,1,70
15,16,4,5,6,54,41,20,2,67
11,10,8,2,6,71,90,6,1,58
3,10,2,1,5,150,17,9,8,34
10,4,1,1,5,111,58,3,7,38
2,11,2,6,3,173,70,29,7,49
10,4,8,3,7,178,90,8,7,56
12,5,2,1,4,166,55,17,9,55
14,17,2,6,5,189,8,11,3,52
14,9,7,4,3,171,31,19,2,61
19,18,4,4,6,95,97,31,5,94
3,20,7,6,6,178,11,30,3,57
12,3,5,1,7,179,67,4,1,41
14,7,7,6,3,93,85,16,9,72
16,3,3,3,3,44,26,14,9,57
20,18,4,5,6,179,96,16,6,87
11,6,7,2,3,80,23,3,5,47
8,18,1,6,6,173,35,7,6,46
8,19,8,1,6,162,45,35,4,78
12,4,6,1,6,119,11,24,6,56
1,11,10,4,3,185,8,33,10,60
11,9,7,5,7,140,62,21,9,67
3,20,8,2,6,146,7,7,4,48
9,16,1,5,5,109,40,37,10,70
15,19,4,3,5,173,33,12,1,64
11,2,6,3,7,41,92,19,7,60
7,11,9,4,5,158,94,4,5,56
18,4,4,6,3,100,57,30,3,67
3,4,6,1,7,136,33,35,7,50
16,12,3,1,3,61,18,3,2,52
5,17,3,1,5,174,43,10,4,46
9,4,6,2,7,67,37,11,7,47
2,6,6,3,6,167,84,24,8,50
2,15,7,6,3,123,28,34,1,53
3,10,9,1,3,60,16,31,6,59
20,13,7,5,3,64,78,37,9,102
10,14,7,5,3,173,98,32,8,83
18,13,3,5,6,112,72,18,3,70
15,17,3,1,3,148,59,10,8,72
9,19,8,5,7,42,99,38,10,95
15,18,1,2,3,67,98,30,5,84
12,20,4,2,7,175,79,30,7,83
1,14,4,2,3,108,20,28,10,53
12,13,2,5,3,168,46,29,10,70
16,12,5,1,6,40,82,31,6,85
8,4,6,3,7,87,22,3,9,40
18,2,1,6,7,133,49,26,4,55
2,8,5,2,5,120,15,29,5,43
18,6,2,1,6,57,67,35,3,73
2,1,6,1,5,129,56,37,3,44
7,9,1,3,5,60,23,31,4,47
20,4,8,4,3,98,19,27,7,77
16,12,3,4,6,118,57,39,3,77
7,10,10,1,5,178,22,24,4,60
15,7,5,1,4,163,78,20,8,72
17,16,4,5,4,176,48,33,1,78
13,5,7,2,6,154,55,30,4,66
17,10,9,2,7,46,86,27,9,92
9,3,4,4,3,183,36,22,3,43
16,2,5,6,5,55,79,4,2,49
20,8,1,6,6,106,66,6,7,61
18,2,3,3,6,40,16,27,8,63
11,7,7,5,7,117,1,16,3,47
17,9,2,1,4,81,85,4,9,66
14,7,6,1,4,156,93,31,8,81
7,10,2,5,6,109,95,20,10,58
11,11,4,3,7,187,2,16,4,48
12,20,8,3,4,81,17,7,4,67
16,16,6,2,7,198,73,19,6,81
15,1,9,1,6,135,76,29,2,69
2,5,1,1,4,134,59,14,9,34
11,4,9,1,7,169,45,32,6,68
20,3,3,5,7,173,47,18,8,64
10,13,7,1,3,113,78,12,2,63
6,15,4,2,4,56,93,30,3,66
13,10,10,6,4,55,17,10,2,58
4,10,1,5,4,147,5,9,2,23
11,11,10,1,7,95,19,8,8,63
1,8,6,3,6,152,90,40,8,62
18,3,4,4,4,106,40,20,9,66
16,3,9,1,3,107,45,14,2,62
8,16,7,2,7,53,90,37,5,81
9,12,6,4,5,68,35,21,4,58
14,17,8,6,6,197,89,6,10,79
19,5,4,1,3,93,12,40,8,79
8,11,7,1,6,144,1,10,1,43
20,10,7,2,4,73,15,27,7,83
20,8,7,6,4,65,29,30,4,79
14,19,2,6,3,76,34,14,7,67
20,7,1,4,3,82,56,11,8,65
10,9,2,6,6,115,1,11,8,41
20,7,6,6,7,144,18,39,1,74
18,7,10,5,3,119,84,30,4,87
3,14,10,1,7,50,33,37,2,65
2,15,8,1,5,66,3,11,6,46
19,19,8,4,7,176,71,32,6,100
1,5,7,6,5,167,46,10,5,31
11,11,10,1,6,71,67,38,9,89
16,10,4,3,6,123,9,17,6,61
13,2,5,4,6,167,2,23,7,50
6,13,4,6,6,125,75,29,4,58
1,15,1,1,3,71,94,5,10,46
2,7,6,4,5,135,74,8,4,36
15,10,6,5,4,177,74,13,3,64
12,15,4,3,7,184,2,2,9,52
15,8,6,1,5,132,64,16,8,71
14,12,9,3,5,68,51,17,5,74
3,4,4,2,5,72,23,8,10,33
3,2,5,6,6,60,90,14,5,36
1,4,8,2,6,185,21,12,4,30
11,10,2,4,5,180,59,9,8,52
3,19,10,6,6,139,53,36,6,74
13,20,4,1,5,108,80,21,10,86
6,4,7,4,7,106,97,40,6,66
8,20,4,1,4,59,18,8,7,58
3,5,6,1,6,119,31,33,10,53
4,16,4,5,5,188,59,6,1,39
9,7,6,5,3,79,52,15,6,53
6,9,6,3,4,163,67,37,6,65
3,19,4,2,4,122,14,21,2,48
9,17,4,5,7,153,59,30,3,65
12,20,8,6,5,99,36,39,10,93
20,6,4,5,4,199,73,26,2,71
4,12,1,2,6,147,80,37,2,53
17,5,5,1,5,50,72,18,4,67
11,1,1,5,7,170,38,38,2,45
1,11,10,2,3,117,77,5,8,52
4,17,9,1,4,177,46,12,10,65
13,17,5,3,3,63,70,36,2,82
7,18,1,2,3,63,35,10,2,46
19,2,5,4,7,126,61,1,5,53
15,11,2,4,7,75,92,17,6,67
10,19,7,1,5,45,100,32,8,92
12,6,9,4,5,138,35,17,9,64
13,10,9,6,5,114,62,18,2,66
4,10,4,2,4,165,18,19,2,38
15,7,2,6,5,114,30,14,4,49
19,17,9,3,4,56,70,37,1,99
20,5,8,6,3,164,64,16,6,75
10,8,1,6,3,88,94,7,10,52
2,16,2,3,6,160,26,7,5,34
7,2,1,4,3,58,35,28,9,44
15,4,7,1,3,90,24,24,7,67
12,2,6,1,4,135,1,40,7,63
14,11,7,3,6,196,38,11,5,62
14,1,4,1,6,191,3,5,1,33
10,6,4,5,3,79,71,7,7,49
5,12,10,3,6,170,30,18,9,61
6,16,5,4,6,144,17,9,1,41
12,5,5,3,6,105,12,32,6,59
2,9,9,5,7,70,52,13,7,47
15,4,6,6,5,198,40,2,4,46
3,10,9,5,4,110,41,13,4,45
6,15,4,2,7,108,96,5,7,55
14,3,3,1,7,198,13,13,9,49
6,17,7,5,7,146,52,19,7,63
9,6,2,3,7,196,65,30,3,50
8,17,5,4,6,83,76,10,6,61
1,19,4,3,5,146,30,4,5,38
16,17,4,4,4,67,24,5,8,67
8,14,3,6,7,54,80,34,7,69
6,10,6,4,7,159,98,33,4,64
20,18,6,5,7,185,70,18,1,82
14,16,8,1,7,93,12,7,3,63
18,9,5,3,6,163,65,2,2,58
16,13,4,5,3,186,7,23,7,68
1,18,3,1,5,63,48,33,3,55
10,17,8,5,4,200,36,26,10,78
16,10,7,3,7,117,64,7,6,67
9,17,6,1,5,45,28,29,9,76
14,18,9,2,7,190,33,31,3,83
16,18,3,3,3,159,98,7,8,78
5,11,6,4,3,164,11,12,1,37
8,6,10,2,3,154,51,4,7,53
7,14,9,2,5,140,82,1,5,58
1,12,4,3,4,102,87,25,9,56
15,6,10,4,4,192,81,29,8,84
17,16,10,4,6,45,100,25,8,100
5,15,10,2,4,119,51,31,7,74
6,11,5,6,7,161,58,17,6,50
4,14,1,6,6,140,89,10,6,43
16,16,9,6,7,47,11,29,5,82
12,13,8,1,4,154,6,36,4,75
16,8,8,1,5,101,52,17,5,72
10,11,2,1,4,79,34,21,4,53
20,14,8,6,5,101,8,19,7,81
10,8,4,6,5,59,98,11,2,50
6,2,5,5,6,40,26,9,7,33
7,12,7,5,3,95,84,31,3,67
6,15,7,2,6,160,58,7,1,49
18,13,1,6,4,101,88,40,9,90
2,19,10,4,5,139,89,10,4,61
3,4,6,3,4,125,47,26,7,46
20,1,8,2,6,191,94,31,2,79
4,5,3,3,4,169,25,31,4,40
6,9,5,3,7,144,49,23,7,53
4,11,6,4,3,117,100,24,6,61
5,20,10,1,6,97,47,8,8,67
17,4,3,3,7,175,9,10,3,45
13,1,1,3,3,49,53,17,5,46
12,9,8,2,4,137,64,22,5,70
13,16,2,1,7,54,32,8,2,53
2,13,4,6,3,182,64,27,9,55
6,18,7,5,6,139,86,12,7,65
6,12,10,4,4,93,7,9,7,53
18,7,5,6,7,133,88,40,3,81
19,9,3,3,7,200,12,13,4,58
3,9,5,3,3,113,36,40,8,59
9,13,8,4,5,137,60,14,10,68
3,3,3,4,3,42,28,37,5,42
4,7,7,2,4,43,2,30,4,48
13,2,3,5,3,175,57,37,10,67
9,6,4,1,6,117,86,38,1,61
14,1,6,4,3,87,40,10,7,52
5,16,5,5,6,112,25,37,2,58
15,6,8,5,7,54,69,9,10,68
7,18,3,5,5,182,56,13,8,57
11,1,3,5,6,40,11,31,1,41
9,14,1,4,3,192,83,2,4,46
6,2,6,3,6,71,98,37,5,60
4,16,6,5,7,176,42,21,6,55
9,11,6,3,5,105,98,5,4,56
18,18,5,1,3,51,29,24,6,86
6,12,4,1,3,188,94,27,8,67
20,7,5,1,4,82,45,28,2,75
20,20,7,4,3,86,69,32,9,107
1,19,5,1,3,113,11,20,10,56
2,6,10,2,4,184,44,15,2,41
12,16,7,3,3,95,16,32,5,76
15,15,8,6,4,101,90,32,4,89
17,3,4,6,4,141,58,36,1,65
18,10,4,5,3,50,97,18,4,75
14,19,9,5,4,155,91,34,8,100
20,16,10,5,7,114,52,35,4,98
15,20,6,3,6,111,16,24,1,74
2,16,10,6,6,64,58,24,6,63
2,10,9,6,6,128,43,7,4,39
5,8,7,3,3,138,27,16,8,49
16,3,2,6,6,47,26,34,9,64
19,7,2,2,7,79,57,39,2,74
11,2,7,5,3,64,69,12,2,48
15,2,7,5,6,148,45,8,9,56
9,7,1,4,7,69,56,22,8,50
19,11,6,3,3,45,78,26,3,84
16,15,1,6,3,181,13,18,6,61
1,20,3,6,4,158,46,15,2,41
10,20,8,2,4,81,88,18,9,86
18,20,5,3,3,199,27,23,7,86
16,2,3,3,7,189,12,35,2,55
15,10,7,2,3,71,96,35,10,94
3,8,1,2,4,49,25,10,4,27
18,18,7,3,5,61,22,18,2,78
10,17,1,5,5,56,59,39,7,74
11,18,1,4,5,119,36,13,2,52
7,11,6,3,6,49,33,16,2,48
17,3,9,1,4,79,94,13,6,74
14,7,5,5,7,155,76,5,4,53
20,2,4,2,6,146,67,27,7,74
5,6,5,1,4,93,47,30,10,58
4,19,7,3,3,47,51,37,3,71
8,11,5,2,5,189,87,23,7,65
5,11,8,3,6,118,14,4,2,37
18,2,6,1,4,81,91,15,10,75
8,13,9,3,3,138,5,32,7,70
17,12,6,6,6,127,42,2,8,64
4,4,4,5,6,40,1,26,7,37
9,15,1,1,4,173,20,28,5,57
12,3,8,4,5,54,30,20,1,51
9,11,5,3,6,197,97,27,1,62
3,17,1,3,7,169,29,14,6,40
6,11,4,6,3,50,92,12,1,46
7,9,6,2,3,62,24,23,4,52
12,6,9,4,5,160,30,15,6,59
8,15,8,2,5,147,71,17,3,65
19,2,8,5,4,53,20,1,7,57
17,15,7,4,3,175,13,37,9,90
20,8,5,1,6,45,96,30,2,84
17,2,3,2,6,84,43,22,3,56
13,12,7,3,4,42,25,36,1,72
3,12,6,1,7,84,26,10,3,39
17,14,5,1,4,77,78,17,7,82
2,14,1,6,4,108,76,7,9,41
11,3,7,4,3,73,42,7,7,49
17,1,2,4,5,188,35,20,10,57
16,10,10,3,7,88,16,5,1,59
8,18,2,2,3,58,49,15,2,54
13,9,10,1,3,45,82,10,6,74
15,11,6,6,5,178,92,29,5,79
4,6,8,4,3,157,57,39,10,66
19,4,10,3,5,44,98,8,4,75
8,14,6,6,3,44,53,34,3,67
10,7,9,6,6,89,44,34,1,63
16,11,6,6,4,190,84,20,2,71
15,5,8,5,4,194,43,18,10,69
18,5,5,6,3,125,35,3,1,49
16,2,4,4,3,61,6,29,4,57
14,19,8,6,5,110,41,40,10,97
8,1,2,5,6,70,41,12,1,26
18,16,5,2,7,86,61,13,3,75
18,7,1,2,6,141,39,26,5,64
9,11,8,4,3,115,52,16,3,59
14,14,4,6,3,130,20,9,7,59
11,18,7,3,7,103,23,13,8,68
11,18,7,5,5,117,95,11,9,77
3,19,1,4,4,157,56,24,1,47
15,16,6,3,7,174,82,38,2,86
14,1,2,4,5,46,2,33,5,51
18,18,3,5,4,151,22,24,1,71
1,19,1,3,3,134,60,27,4,51
5,11,7,2,4,162,66,17,1,50
10,9,7,6,6,180,37,34,6,66
17,14,1,4,6,156,34,9,2,55
17,12,5,2,4,127,94,5,5,71
19,8,7,3,5,129,9,13,8,69
14,6,10,2,5,125,50,33,10,84
19,13,9,4,5,55,27,16,3,77
7,3,2,5,3,162,70,13,9,41
4,3,10,1,4,162,97,17,1,49
10,6,1,2,3,102,69,35,10,65
18,3,3,6,6,161,45,30,5,63
15,5,8,3,5,157,83,13,10,72
15,16,9,1,6,96,89,36,4,96
12,9,8,6,3,193,57,12,7,63
20,7,2,2,4,112,10,4,8,57
3,3,10,1,6,192,67,10,2,39
4,13,6,3,5,123,30,1,4,37
1,10,9,5,7,116,22,20,10,49
2,12,9,6,4,92,79,27,4,59
13,2,3,6,7,180,21,12,3,36
11,14,9,6,7,86,71,3,8,66
13,6,8,3,6,42,28,24,6,65
16,7,4,6,7,57,50,27,7,68
20,12,1,4,7,51,89,18,6,76
5,2,6,3,7,84,55,15,10,45
10,8,1,1,7,157,51,25,7,54
3,20,8,4,3,165,56,30,9,74
4,2,10,6,6,151,60,4,8,40
9,4,1,5,7,185,42,21,9,44
4,1,6,5,6,49,72,4,1,26
4,4,10,6,4,68,63,28,1,50
11,8,2,4,7,153,85,27,7,62
4,1,1,4,7,90,82,33,7,43
13,12,2,1,6,171,97,36,5,77
12,14,5,1,7,166,32,8,7,59
3,9,2,1,5,126,44,37,10,56
16,3,3,5,4,115,44,6,6,48
10,14,4,3,3,142,84,16,2,60
19,20,8,2,7,81,100,21,6,100
1,9,5,5,4,114,85,19,10,50
6,18,5,6,7,192,27,35,8,67
2,11,7,2,7,119,57,27,2,50
13,18,8,4,6,126,44,9,4,69
10,12,1,3,6,184,98,22,10,66
5,20,2,6,7,44,77,18,9,61
8,10,5,3,3,93,74,9,3,50
7,10,3,5,3,181,86,12,3,46
9,3,7,5,3,70,71,5,7,48
18,14,7,6,7,42,33,19,10,82
7,19,4,1,4,160,43,6,4,52
15,1,10,6,3,179,34,30,9,72
19,1,10,2,6,108,90,7,1,66
9,13,10,1,3,46,16,4,9,62
5,14,2,4,5,128,5,15,3,36
14,2,7,4,6,65,19,22,9,61
11,12,6,3,6,133,69,16,1,59
19,19,2,3,3,161,52,15,8,81
9,1,6,6,5,87,1,29,4,44
19,16,9,6,4,75,10,26,9,91
3,11,10,5,5,105,40,30,4,58
19,6,3,1,4,197,42,28,3,68
16,17,2,4,5,61,67,10,3,66
19,1,5,5,6,73,79,2,5,56
15,20,6,5,5,83,32,22,4,78
5,16,9,1,3,85,19,16,8,63
19,4,6,2,3,102,60,10,9,71
16,17,7,2,6,182,56,22,4,81
1,8,5,5,3,67,85,13,9,45
9,9,5,2,4,70,64,23,1,56
7,14,7,5,5,143,58,22,5,62
4,3,5,6,5,64,87,34,2,47
12,8,6,1,5,198,73,21,7,68
2,16,10,5,6,64,98,5,1,52
4,6,7,4,6,190,24,17,4,38
14,13,5,1,6,40,90,27,8,84
13,13,5,5,6,120,3,37,7,72
12,2,1,2,7,81,72,13,6,45
15,20,3,2,6,138,8,17,8,72
15,1,2,1,7,177,40,20,8,53
8,13,7,1,4,83,12,33,10,72
18,16,1,3,3,133,50,13,1,64
20,5,7,4,5,152,3,35,3,73
13,10,6,3,7,125,70,25,10,76
6,6,7,1,5,185,36,4,7,41
5,19,5,6,7,78,69,7,10,59
6,13,1,4,7,150,78,31,6,57
17,2,9,5,5,138,82,3,4,60
11,5,7,6,6,135,31,32,4,59
5,2,6,6,5,146,46,16,4,35
18,18,10,6,5,144,90,4,7,87
16,18,3,6,4,96,90,26,1,78
18,20,4,6,7,115,32,13,3,71
4,16,2,5,4,173,13,10,1,32
16,11,4,2,7,95,63,11,4,64
19,17,5,3,6,159,99,36,9,103
18,1,3,2,6,50,73,10,4,55
11,20,4,3,5,119,1,8,9,61
5,2,7,1,5,171,11,31,3,43
20,15,2,1,3,132,43,31,3,82
7,19,6,3,4,43,94,10,8,70
17,3,10,4,5,134,57,39,1,78
11,6,1,6,4,81,67,15,10,52
13,15,6,5,6,191,46,26,3,70
2,10,2,4,6,197,45,12,1,26
5,7,6,3,7,131,54,32,7,57
18,2,2,2,4,125,72,13,6,58
4,5,5,6,5,168,21,3,9,30
14,16,4,1,4,125,6,15,6,65
3,5,1,3,6,45,31,25,2,30
4,7,6,3,6,155,9,18,9,43
18,12,4,2,4,75,75,26,3,79
4,11,7,4,5,199,26,21,7,51
9,20,5,1,3,50,42,37,7,83
19,2,3,5,5,101,52,34,10,75
2,12,10,5,6,125,40,13,3,46
7,13,7,1,4,82,47,36,9,76
12,20,3,3,7,49,94,19,3,73
3,20,1,6,5,172,55,35,7,60
11,20,8,3,6,189,86,6,3,70
13,7,1,1,3,124,68,25,7,63
17,14,3,1,7,45,63,13,6,72
19,3,2,2,5,101,90,2,2,52
8,20,9,6,6,166,92,15,4,73
13,9,10,5,3,50,47,30,8,81
12,20,5,2,6,188,43,31,2,75
10,10,1,5,7,115,57,29,9,60
16,8,7,1,4,176,39,30,8,79
3,5,7,3,3,164,89,25,2,48
16,3,7,6,3,74,20,4,4,49
14,4,9,2,7,112,23,9,5,55
11,9,4,1,6,111,14,24,2,52
16,16,3,5,5,62,32,16,10,73
19,18,8,5,5,182,56,27,8,96
13,14,4,1,7,51,15,25,7,68
10,19,3,1,5,180,13,27,4,64
20,14,7,3,5,196,49,23,6,87
14,12,10,6,7,75,1,12,6,64
12,19,8,5,5,174,86,11,1,71
19,2,6,1,3,48,25,22,5,67
16,14,6,3,3,95,26,28,7,81
2,12,2,3,7,124,46,32,2,43
13,3,5,2,3,126,73,24,2,58
6,3,6,1,6,164,14,10,2,30
15,8,8,5,4,145,58,27,3,72
19,19,2,4,5,127,82,2,6,74
8,11,3,4,5,200,93,39,10,74
11,12,10,1,3,105,79,33,1,80
20,9,10,6,3,173,2,10,5,70
12,20,3,3,4,96,63,9,2,62
18,18,7,1,7,115,98,35,8,105
13,11,8,1,4,197,41,11,5,64
16,18,10,1,6,187,49,11,4,81
